"DATE","TIME","OPEN","HIGH","LOW","CLOSE","TICKVOL","VOL","SPREAD"
2018.03.01,10:03:00,21.40,21.40,21.34,21.34,204,276700,1
2018.03.05,12:02:00,21.61,21.63,21.61,21.62,53,65000,1
2018.03.06,11:03:00,22.37,22.38,22.36,22.37,94,122500,1
2018.03.07,13:29:00,21.58,21.63,21.58,21.62,104,101800,1
2018.03.09,11:30:00,21.90,21.95,21.90,21.95,100,132700,1
2018.03.12,11:21:00,22.44,22.45,22.42,22.43,137,133700,1
2018.03.14,12:57:00,22.21,22.22,22.17,22.18,111,108100,1
2018.03.15,12:07:00,21.96,21.97,21.94,21.95,77,48600,1
2018.03.19,12:09:00,21.21,21.23,21.20,21.20,122,156900,1
2018.03.21,14:37:00,21.65,21.66,21.64,21.66,62,29300,1
2018.03.23,13:45:00,21.76,21.76,21.74,21.75,77,73400,1
2018.03.28,13:43:00,21.17,21.18,21.15,21.15,52,26600,1
2018.04.02,13:37:00,21.14,21.15,21.14,21.14,49,40600,1
2018.04.04,11:01:00,20.19,20.19,20.15,20.16,120,209900,1
2018.04.05,13:35:00,21.17,21.18,21.16,21.17,50,34200,1
2018.04.06,15:16:00,21.10,21.14,21.10,21.12,158,116100,1
2018.04.09,16:06:00,20.90,20.91,20.90,20.90,54,21200,1
2018.04.10,16:09:00,21.44,21.44,21.43,21.43,79,42900,1
2018.04.12,13:33:00,21.84,21.85,21.84,21.85,25,8200,1
2018.04.17,11:47:00,20.92,20.94,20.92,20.93,96,45700,1

